date_scraped,page_number,product_url,image,current_price,title,brand,original_price,discount,verified_ratings,rating_number,seller,main_category
2025-10-05,1,https://www.jumia.co.ke/vitron-htc3200s-32-inches-bluetooth-connectivity-tv-smart-android-television-with-inbuilt-wi-fi-connectivity-inbuilt-decoder-netflix-youtube-app-store-gifts-1-year-warranty-266795498.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/4597662/1.jpg?9235,"KSh 11,689","Vitron HTC3200S 32"" Inches Bluetooth Connectivity TV Smart Android Television With Inbuilt Wi-Fi Connectivity, Inbuilt Decoder Netflix Youtube App Store + GIFTS (1 YEAR WARRANTY )",Privacy and Cookie notice,"KSh 18,500",37%,(376 verified ratings),3.8 out of 5,HomeCare,Home
2025-10-05,1,https://www.jumia.co.ke/nivea-nourishing-cocoa-body-lotion-with-cocoa-butter-400ml-pack-of-2-68528031.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/082586/1.jpg?6506,KSh 879,NIVEA Nourishing Cocoa Body Lotion With Cocoa Butter 400ml (Pack Of 2),Privacy and Cookie notice,"KSh 1,280",31%,(2469 verified ratings),4.5 out of 5,Jumia,Home
2025-10-05,1,https://www.jumia.co.ke/ailyons-fk-0310-stainless-steel-2.2l-electric-water-kettle-black-1yr-wrty-72938948.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/983927/1.jpg?2271,KSh 799,AILYONS FK-0310 Stainless Steel 2.2L Electric Water Kettle-Black (1YR WRTY),Privacy and Cookie notice,"KSh 1,599",50%,(2000 verified ratings),3.9 out of 5,UR-HOME(KENYA),Home
2025-10-05,1,https://www.jumia.co.ke/gueeton-128gb-metal-otg-usb-flash-drive-waterproof-3d-embossment-91921997.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/912919/1.jpg?2331,KSh 557,GUEETON 128GB Metal OTG Usb Flash Drive Waterproof 3D Embossment,Privacy and Cookie notice,KSh 929,40%,(2187 verified ratings),3.5 out of 5,GUEETON-COD,Home
2025-10-05,1,https://www.jumia.co.ke/em-blender-2-in-1-grinding-machine-with-durable-motor-1.5l-black-bd02-316266873.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/8662613/1.jpg?0681,"KSh 1,499","Em Blender 2 In 1 Grinding Machine With Durable Motor 1.5L, Black  BD02",Privacy and Cookie notice,"KSh 3,699",59%,(176 verified ratings),3.9 out of 5,ElectroMate Home Appliances,Home
2025-10-05,1,https://www.jumia.co.ke/matiho-one-piece-hair-clippers-253894863.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/8498352/1.jpg?7630,KSh 253,MATIHO One-piece hair clippers,Privacy and Cookie notice,KSh 454,44%,(393 verified ratings),3.6 out of 5,ManTiaoHong-COD,Home
2025-10-05,1,https://www.jumia.co.ke/vitron-htc3200s-32-smart-frameless-android-led-tv-with-bluetooth-1yr-wrty-261943073.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/0349162/1.jpg?4882,"KSh 10,659","Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)",Privacy and Cookie notice,"KSh 13,846",23%,(1602 verified ratings),4 out of 5,Vitron Official Store - AC,Home
2025-10-05,1,https://www.jumia.co.ke/matiho-rechargeable-metal-simple-style-hair-clipper-252212739.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/7212252/1.jpg?7293,KSh 348,MATIHO Rechargeable Metal Simple Style Hair Clipper,Privacy and Cookie notice,KSh 576,40%,(303 verified ratings),4 out of 5,ManTiaoHong-COD,Home
2025-10-05,1,https://www.jumia.co.ke/bluetooth-remote-hand-held-selfie-stick-tripod-generic-mpg416612.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/891176/1.jpg?6871,KSh 297,RichRipple 180 °Rotatable Phone Holder Retractable Disc Base Phone Stand,Privacy and Cookie notice,"KSh 1,114",73%,(373 verified ratings),3.8 out of 5,RichRipple OfficialStore-SEA-COD,Home
2025-10-05,1,https://www.jumia.co.ke/garnier-even-matte-cleansing-foam-100ml-with-vitamin-c-and-lemon-visibly-even-and-restores-skin-glow-30685679.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/658603/1.jpg?0503,KSh 600,Garnier Even & Matte Cleansing Foam 100ml with Vitamin C and Lemon - Visibly Even and Restores Skin Glow,Privacy and Cookie notice,,,(3418 verified ratings),4.3 out of 5,L'Oreal,Home
2025-10-05,1,https://www.jumia.co.ke/garnier-even-matte-vitamin-c-uv-spf30-sunscreen-protection-brightening-non-greasy-face-cream-50ml-69384579.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/548396/1.jpg?5003,"KSh 1,250",Garnier Even & Matte Vitamin C UV SPF30 Sunscreen - Protection & Brightening Non-greasy Face Cream 50ml,Privacy and Cookie notice,,,(3652 verified ratings),4.2 out of 5,L'Oreal,Home
2025-10-05,1,https://www.jumia.co.ke/fuxing-fashion-womens-breathable-and-non-slip-shoes-sneakers-women-shoes-ladies-69406441.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/14/460496/1.jpg?1674,KSh 459 - KSh 460,FUXING FASHION Women's Breathable And Non Slip Shoes Sneakers Women Shoes Ladies,Privacy and Cookie notice,KSh 699 - KSh 701,34%,(216 verified ratings),3.7 out of 5,Fuxing - SEA - COD,Home
2025-10-05,1,https://www.jumia.co.ke/cyfaza-5-tiers-shoe-rack-storage-organizer-18-pairs-large-capacity-306426729.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/7624603/1.jpg?7231,"KSh 1,201",CYFAZA 5-Tiers Shoe Rack Storage Organizer 18 Pairs Large Capacity,Privacy and Cookie notice,"KSh 2,003",40%,(43 verified ratings),4.3 out of 5,Cyfaza-COD,Home
2025-10-05,1,https://www.jumia.co.ke/led-2.4g-rechargeable-wireless-mouse-generic-mpg416675.html,https://ke.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/843353/1.jpg?1167,KSh 378,GUEETON Ultra-thin Wireless Mouse 2.4G Bluetooth Dual Mode Rechargeable Silver,Privacy and Cookie notice,"KSh 1,596",76%,(2264 verified ratings),4.4 out of 5,GUEETON-COD,Home
